Lockup Type,Layout,Style,Strapline,File Name,Done?,Rev'd?,Use Case,Preview,Status
Primary,Horizontal,Black and White,With Strapline,primary-horizontal-blackandwhite-strapline.svg,No,No,"Used for official letters, invoices, grayscale documents, or internal reports.",,To Do
Primary,Horizontal,Black and White,,primary-horizontal-blackandwhite.svg,No,No,"Used for official letters, invoices, grayscale documents, or internal reports.",,To Do
Primary,Horizontal,Gradient,With Strapline,primary-horizontal-gradient-strapline.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Horizontal,Gradient,,primary-horizontal-gradient.svg,No,No,"web banners, video thumbnails, or digital promotions requiring high impact.",,To Do
Primary,Horizontal,Keyline,With Strapline,primary-horizontal-keyline-strapline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Horizontal,Keyline,,primary-horizontal-keyline.svg,No,No,"Displayed in layout guides, spacing demonstrations, or brand documentation.",,To Do
Primary,Horizontal,Outline,With Strapline,primary-horizontal-outline-strapline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Horizontal,Outline,,primary-horizontal-outline.svg,No,No,Editorial or artistic publications where a lighter touch or line-based visual theme is preferred.,,To Do
Primary,Horizontal,Reversed,With Strapline,primary-horizontal-reversed-strapline.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Horizontal,Reversed,,primary-horizontal-reversed.svg,No,No,"Used for dark-themed layouts, t-shirt prints, or black-background visuals.",,To Do
Primary,Horizontal,Solid,With Strapline,primary-horizontal-solid-strapline.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Horizontal,Solid,,primary-horizontal-solid.svg,No,No,"print invitations, marketing flyers, or primary website headers.",,To Do
Primary,Horizontal,Transparent,With Strapline,primary-horizontal-transparent-strapline.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Horizontal,Transparent,,primary-horizontal-transparent.svg,No,No,"Used in video overlays, live streams, or transparent exports with floating logo needs.",,To Do
Primary,Stacked,Black and White,With Strapline,primary-stacked-blackandwhite-strapline.svg,No,No,"narrow posters, vertical layouts, or fold-out print brochures.",,To Do
