Name,Category,Role,Usage Area,Color,Size / Scale / Spacing,Weight,Notes,Preview
Font 1,Primary Typeface,H0,Web,Primary,96px / 106px / 10 tracking,Light,Example use for Font 1,
Font 2,Secondary Typeface,H1,Print,Accent,72px / 80px / 5 tracking,Regular,Example use for Font 2,
Font 3,Decorative Typeface,H2,Mobile,Muted,60px / 72px / 0 tracking,Medium,Example use for Font 3,
Font 4,Primary Typeface,H3,UI Label,Inverse,48px / 58px / 15 tracking,Bold,Example use for Font 4,
Font 5,Secondary Typeface,H4,Header,Warning,36px / 48px / 20 tracking,Black,Example use for Font 5,
Font 6,Decorative Typeface,H5,Body,Primary,30px / 40px / -5 tracking,Light,Example use for Font 6,
Font 7,Primary Typeface,H6,Web,Accent,24px / 34px / -10 tracking,Regular,Example use for Font 7,
Font 8,Secondary Typeface,Paragraph XXL,Print,Muted,20px / 28px / 10 tracking,Medium,Example use for Font 8,
Font 9,Decorative Typeface,Paragraph XL,Mobile,Inverse,18px / 26px / 0 tracking,Bold,Example use for Font 9,
Font 10,Primary Typeface,Paragraph L,UI Label,Warning,16px / 24px / 5 tracking,Black,Example use for Font 10,
Font 12,Decorative Typeface,Paragraph Sm,Body,Accent,12px / 20px / -2 tracking,Regular,Example use for Font 12,
Font 11,Secondary Typeface,Paragraph,Header,Primary,14px / 22px / 2 tracking,Light,Example use for Font 11,
Font 13,Primary Typeface,Eyebrow,Web,Muted,10px / 18px / 8 tracking,Medium,Example use for Font 13,
Font 14,Secondary Typeface,Caption,Print,Inverse,8px / 16px / 6 tracking,Bold,Example use for Font 14,
Font 16,Primary Typeface,H1,UI Label,Primary,96px / 106px / 10 tracking,Light,Example use for Font 16,
Font 15,Decorative Typeface,H0,Mobile,Warning,6px / 14px / 4 tracking,Black,Example use for Font 15,
Font 17,Secondary Typeface,H2,Header,Accent,72px / 80px / 5 tracking,Regular,Example use for Font 17,
Font 18,Decorative Typeface,H3,Body,Muted,60px / 72px / 0 tracking,Medium,Example use for Font 18,
Font 19,Primary Typeface,H4,Web,Inverse,48px / 58px / 15 tracking,Bold,Example use for Font 19,
Font 20,Secondary Typeface,H5,Print,Warning,36px / 48px / 20 tracking,Black,Example use for Font 20,
Font 22,Primary Typeface,Paragraph XXL,UI Label,Accent,24px / 34px / -10 tracking,Regular,Example use for Font 22,
Font 21,Decorative Typeface,H6,Mobile,Primary,30px / 40px / -5 tracking,Light,Example use for Font 21,
Font 23,Secondary Typeface,Paragraph XL,Header,Muted,20px / 28px / 10 tracking,Medium,Example use for Font 23,
Font 24,Decorative Typeface,Paragraph L,Body,Inverse,18px / 26px / 0 tracking,Bold,Example use for Font 24,
Font 25,Primary Typeface,Paragraph,Web,Warning,16px / 24px / 5 tracking,Black,Example use for Font 25,
Font 26,Secondary Typeface,Paragraph Sm,Print,Primary,14px / 22px / 2 tracking,Light,Example use for Font 26,
Font 27,Decorative Typeface,Eyebrow,Mobile,Accent,12px / 20px / -2 tracking,Regular,Example use for Font 27,
Font 28,Primary Typeface,Caption,UI Label,Muted,10px / 18px / 8 tracking,Medium,Example use for Font 28,
Font 30,Decorative Typeface,H1,Body,Warning,6px / 14px / 4 tracking,Black,Example use for Font 30,
Font 29,Secondary Typeface,H0,Header,Inverse,8px / 16px / 6 tracking,Bold,Example use for Font 29,
Font 31,Primary Typeface,H2,Web,Primary,96px / 106px / 10 tracking,Light,Example use for Font 31,
Font 32,Secondary Typeface,H3,Print,Accent,72px / 80px / 5 tracking,Regular,Example use for Font 32,
Font 33,Decorative Typeface,H4,Mobile,Muted,60px / 72px / 0 tracking,Medium,Example use for Font 33,
Font 34,Primary Typeface,H5,UI Label,Inverse,48px / 58px / 15 tracking,Bold,Example use for Font 34,
Font 35,Secondary Typeface,H6,Header,Warning,36px / 48px / 20 tracking,Black,Example use for Font 35,
Font 37,Primary Typeface,Paragraph XL,Web,Accent,24px / 34px / -10 tracking,Regular,Example use for Font 37,
Font 36,Decorative Typeface,Paragraph XXL,Body,Primary,30px / 40px / -5 tracking,Light,Example use for Font 36,
Font 38,Secondary Typeface,Paragraph L,Print,Muted,20px / 28px / 10 tracking,Medium,Example use for Font 38,
Font 39,Decorative Typeface,Paragraph,Mobile,Inverse,18px / 26px / 0 tracking,Bold,Example use for Font 39,
Font 41,Secondary Typeface,Eyebrow,Header,Primary,14px / 22px / 2 tracking,Light,Example use for Font 41,
Font 40,Primary Typeface,Paragraph Sm,UI Label,Warning,16px / 24px / 5 tracking,Black,Example use for Font 40,
Font 42,Decorative Typeface,Caption,Body,Accent,12px / 20px / -2 tracking,Regular,Example use for Font 42,
Font 43,Primary Typeface,H0,Web,Muted,10px / 18px / 8 tracking,Medium,Example use for Font 43,
Font 44,Secondary Typeface,H1,Print,Inverse,8px / 16px / 6 tracking,Bold,Example use for Font 44,
Font 46,Primary Typeface,H3,UI Label,Primary,96px / 106px / 10 tracking,Light,Example use for Font 46,
Font 45,Decorative Typeface,H2,Mobile,Warning,6px / 14px / 4 tracking,Black,Example use for Font 45,
Font 47,Secondary Typeface,H4,Header,Accent,72px / 80px / 5 tracking,Regular,Example use for Font 47,
Font 48,Decorative Typeface,H5,Body,Muted,60px / 72px / 0 tracking,Medium,Example use for Font 48,
Font 49,Primary Typeface,H6,Web,Inverse,48px / 58px / 15 tracking,Bold,Example use for Font 49,
Font 50,Secondary Typeface,Paragraph XXL,Print,Warning,36px / 48px / 20 tracking,Black,Example use for Font 50,
Font 51,Decorative Typeface,Paragraph XL,Mobile,Primary,30px / 40px / -5 tracking,Light,Example use for Font 51,
Font 53,Secondary Typeface,Paragraph,Header,Muted,20px / 28px / 10 tracking,Medium,Example use for Font 53,
Font 52,Primary Typeface,Paragraph L,UI Label,Accent,24px / 34px / -10 tracking,Regular,Example use for Font 52,
Font 54,Decorative Typeface,Paragraph Sm,Body,Inverse,18px / 26px / 0 tracking,Bold,Example use for Font 54,
