Asset Name,Channel,Aspect Ratio,Recommended Size,Format Needed,Primary Logo Type,Minimum Size,Usage Notes
T-Shirt (Print),Promotional,varies,12 × 12 in (max print),"PNG, AI",Full/Icon lockup,4 in width,Chest or sleeve print; sub-brand colors for ministry teams.
Hoodie,Promotional,varies,12 × 12 in (max print),"PNG, AI",Full/Icon lockup,4 in width,Large print front/back; use simplified lockup for clarity.
Polo Shirt,Promotional,varies,4 × 4 in (left chest),"PNG, DST, AI",Icon/full lockup,1.5 in width,"Embroidered or printed left chest; ideal for staff, greeters, team."
Cap Embroidery,Promotional,1:1,2.5 × 2.5 in,"DST, PES",Icon-only,1 in width,Embroidery; use symbol (no text) for legibility at small scale.
Tote Bag,Promotional,3:4,6 × 8 in,"PDF, PNG",Full lockup,2 in width,Main or sub-brand; high placement for best visibility.
Drawstring Bag,Promotional,1:1,10 × 10 in (print area),"PNG, AI",Full/Icon lockup,3 in width,Centered print; for youth/kids giveaways or outreach.
Water Bottle,Promotional,varies,3 × 4 in (print area),"PNG, AI",Icon-only,1 in width,Use logo symbol or alt lockup; wrap or vertical orientation as needed.
Mug,Promotional,varies,3 × 3 in (print area),"PNG, AI",Icon-only,1 in width,Centered print; for event giveaways or staff.
Magnet,Promotional,3:2,3 × 2 in,"PDF, PNG",Icon-only,0.75 in width,"For fridge, event reminders, outreach."
Sticker (Small),Promotional,1:1,2 × 2 in,"PDF, PNG",Icon-only,0.5 in width,"Logo symbol; for handouts, kids, outreach events."
Sticker (Large),Promotional,1:1,4 × 4 in,"PDF, PNG",Icon/full lockup,1 in width,"Swag, ministry branding; add white border for cut clarity."
Bookmark,Promotional,2:7,2 × 7 in,"PDF, PNG",Full/Icon lockup,1 in width,"For welcome bags, events, outreach; can include verse or slogan."
Raffle Ticket,Promotional,6:2.25,6 × 2.25 in,"PDF, PNG",Icon-only,1 in width,"For fundraisers/events; number field, logo in corner."
Glasses Cleaner,Promotional,1:1,2.5 × 2.5 in,"PDF, PNG",Icon/full lockup,1 in width,"Center logo, max size, clean background."
Lanyard,Promotional,varies,1 × 36 in (full length),"AI, PDF",Icon-only,0.5 in width,"For events, volunteers, staff; repeat symbol or text as pattern."
Keychain,Promotional,varies,1 × 2 in,"PNG, AI",Icon-only,0.5 in width,Durable material; use icon for clarity at small size.
Pen,Promotional,varies,0.25 × 2 in (print area),"PNG, AI",Icon-only,0.25 in width,Small print area; single-color icon recommended.
Notepad,Promotional,4:6,4 × 6 in,"PDF, PNG",Full lockup,1 in width,"Giveaway for meetings, welcome kits, outreach."
Hand Fan,Promotional,varies,5 × 5 in (face),"PDF, PNG",Icon-only,2 in width,Great for summer/outdoor events; logo on one or both sides.
